State,8,10,12,14,16,18,20,22
Alava,0,0,0,0,0,0,0,0
Albacete,0,2,5,3,2,6,5,3
Alicante,5,11,19,22,18,25,12,11
Almeria,0,0,0,0,0,0,0,0
Asturias,0,0,0,0,0,2,1,0
Avila,0,0,3,1,0,7,2,3
Badajoz,3,7,23,9,6,14,2,6
Baleares,1,2,2,3,6,1,3,1
Barcelona,60,181,145,157,159,187,130,114
Bizkaia,0,0,0,0,0,0,0,0
Burgos,1,2,6,11,6,4,6,3
Caceres,2,11,9,6,4,11,1,1
Cadiz,4,6,17,17,13,25,15,13
Cantabria,0,0,0,0,0,0,0,0
Ceuta,0,1,0,0,0,0,0,0
Ciudad Real,3,5,5,4,10,3,2,3
Cordoba,0,0,0,0,0,0,0,0
Cuenca,1,2,2,1,1,4,1,1
Gerona,0,0,0,0,0,0,0,0
Gipuzkoa,0,0,0,0,0,0,0,0
Granada,6,16,26,28,38,34,30,22
Guadalajara,0,0,4,2,5,2,3,6
Huelva,2,6,5,3,5,8,7,10
Huesca,1,0,0,0,0,1,2,0
Jaen,3,3,3,6,6,1,7,5
La Coruna,4,9,11,6,10,20,11,2
La Rioja,0,0,0,0,0,0,0,0
Las Palmas,0,1,0,2,1,0,0,0
Leon,3,5,15,3,5,9,2,6
Lerida,0,0,0,0,0,0,0,0
Lugo,1,1,0,3,4,4,0,1
Madrid,82,240,325,365,359,381,280,237
Malaga,12,41,54,54,61,56,33,18
Melilla,0,0,0,0,0,0,0,0
Murcia,10,13,22,15,18,23,17,6
Navarra,0,0,0,0,0,0,0,0
Orense,0,0,0,0,0,0,0,0
Palencia,0,0,3,0,2,5,5,3
Pontevedra,2,2,6,3,1,2,2,2
Salamanca,5,18,18,8,6,20,6,8
Santa Cruz de Tenerife,0,0,0,0,0,0,0,0
Segovia,0,2,4,4,4,5,1,1
Sevilla,0,0,0,1,0,0,0,0
Soria,0,0,1,1,0,2,1,1
Tarragona,1,7,3,13,6,6,2,1
Teruel,0,0,2,3,1,1,1,0
Toledo,2,11,9,6,5,5,5,1
Valencia,23,46,58,45,49,56,44,34
Valladolid,4,7,16,16,18,13,13,3
Zamora,0,3,2,3,4,1,1,2
Zaragoza,0,0,0,0,0,0,0,0
Castellon,0,0,0,0,0,0,0,0
SPAIN,241,661,823,824,833,944,653,528
