State,14,15,16,fips
Alabama,568,960,435,US01
Alaska,0,0,0,US02
Arizona,984,1756,1118,US04
Arkansas,341,507,268,US05
California,6887,13585,11230,US06
Colorado,1063,1456,683,US08
Connecticut,526,743,399,US09
Delaware,128,213,139,US10
District of Columbia,0,0,0,US11
Florida,3993,6394,4100,US12
Georgia,1743,2762,1761,US13
Hawaii,0,0,0,US15
Idaho,111,130,79,US16
Illinois,1834,2957,1862,US17
Indiana,822,1273,727,US18
Iowa,300,558,274,US19
Kansas,521,841,456,US20
Kentucky,525,861,532,US21
Louisiana,700,1092,703,US22
Maine,0,1,0,US23
Maryland,1032,1520,752,US24
Massachusetts,1388,2105,990,US25
Michigan,1177,1779,1025,US26
Minnesota,745,1076,622,US27
Mississippi,313,428,282,US28
Missouri,851,1330,714,US29
Montana,115,147,64,US30
Nebraska,192,362,232,US31
Nevada,668,1351,1183,US32
New Hampshire,88,161,64,US33
New Jersey,1391,2414,1454,US34
New Mexico,257,333,251,US35
New York,4408,6977,4929,US36
North Carolina,1406,2163,1223,US37
North Dakota,49,84,64,US38
Ohio,1677,2389,1346,US39
Oklahoma,561,853,450,US40
Oregon,3,4,4,US41
Pennsylvania,1836,2793,1786,US42
Rhode Island,196,287,133,US44
South Carolina,766,1013,512,US45
South Dakota,63,110,93,US46
Tennessee,1014,1663,1085,US47
Texas,4029,6770,4167,US48
Utah,281,396,267,US49
Vermont,61,122,52,US50
Virginia,1370,2005,1056,US51
Washington,20,48,23,US53
West Virginia,109,225,103,US54
Wisconsin,705,1064,522,US55
Wyoming,47,52,26,US56
